,6.1600000e+02,3.0000000e+01
0,588.0,47.0
1,576.0,55.0
2,16.0,64.0
3,128.0,64.0
4,436.0,64.0
5,14.0,71.0
6,26.0,77.0
7,546.0,78.0
8,512.0,86.0
9,517.0,92.0
10,188.0,94.0
11,408.0,96.0
12,186.0,97.0
13,517.0,98.0
14,191.0,102.0
15,197.0,107.0
16,464.0,120.0
17,487.0,120.0
18,387.0,126.0
19,381.0,127.0
20,205.0,128.0
21,512.0,128.0
22,474.0,129.0
23,228.0,132.0
24,470.0,135.0
25,220.0,138.0
26,234.0,139.0
27,442.0,139.0
28,459.0,140.0
29,456.0,142.0
30,399.0,143.0
31,431.0,146.0
32,235.0,147.0
33,127.0,148.0
34,131.0,149.0
35,420.0,151.0
36,444.0,151.0
37,74.0,153.0
38,638.0,154.0
39,132.0,155.0
40,143.0,155.0
41,356.0,156.0
42,393.0,156.0
43,147.0,157.0
44,153.0,157.0
45,161.0,158.0
46,410.0,159.0
47,384.0,160.0
48,148.0,161.0
49,191.0,161.0
50,255.0,161.0
51,159.0,162.0
52,161.0,162.0
53,200.0,162.0
54,211.0,162.0
55,79.0,163.0
56,171.0,163.0
57,216.0,163.0
58,256.0,163.0
59,175.0,164.0
60,377.0,164.0
61,408.0,165.0
62,204.0,167.0
63,254.0,167.0
64,258.0,167.0
65,260.0,167.0
66,261.0,167.0
67,397.0,167.0
68,119.0,168.0
69,214.0,168.0
70,269.0,168.0
71,272.0,168.0
72,187.0,169.0
73,224.0,169.0
74,230.0,170.0
75,178.0,171.0
76,256.0,171.0
77,375.0,171.0
78,181.0,172.0
79,184.0,172.0
80,362.0,172.0
81,261.0,173.0
82,374.0,173.0
83,380.0,173.0
84,186.0,174.0
85,199.0,174.0
86,266.0,174.0
87,269.0,174.0
88,358.0,174.0
89,370.0,174.0
90,203.0,175.0
91,277.0,175.0
92,278.0,175.0
93,340.0,175.0
94,342.0,175.0
95,344.0,175.0
96,345.0,175.0
97,346.0,175.0
98,349.0,175.0
99,353.0,176.0
100,354.0,176.0
101,356.0,176.0
102,358.0,176.0
103,383.0,176.0
104,269.0,177.0
105,279.0,177.0
106,364.0,177.0
107,365.0,177.0
108,368.0,177.0
109,370.0,177.0
110,498.0,177.0
111,226.0,178.0
112,363.0,178.0
113,371.0,178.0
114,373.0,178.0
115,377.0,178.0
116,379.0,178.0
117,381.0,178.0
118,473.0,178.0
119,200.0,179.0
120,366.0,179.0
